Sun 15 May 2022 07:04:31 AM UTC;meltsplit;This is room2 chatroom
Sun 15 May 2022 07:04:40 AM UTC;yeom;first Message
Sun 15 May 2022 07:09:05 AM UTC;ee;ROOM2!!!!!!
Fri 27 May 2022 02:31:35 PM KST;ee;qwer
Fri 27 May 2022 02:32:05 PM KST;meltsplit;immymemine
Fri 27 May 2022 02:32:08 PM KST;meltsplit;mmmm
Fri 27 May 2022 02:32:53 PM KST;yeom;wow
Fri 27 May 2022 02:33:03 PM KST;yeom;dpd
Fri 27 May 2022 02:33:14 PM KST;yeom;fantastic bb
Fri 27 May 2022 02:33:29 PM KST;yeom;djdj
Fri 27 May 2022 02:33:33 PM KST;yeom;[A[A[A
